Title,LikeCount,date,year,Views
Why you procrastinate even when it feels bad,156000,2022-10-01,2022,5362565
How to outthink your competition -- with a lesson from sports,43000,2022-10-01,2022,1461601
The secret ingredients of great hospitality,45000,2022-10-01,2022,1551892
What you should know about opioids and painkillers,10000,2022-10-01,2022,345443
The case for keeping the wilderness wild,1100,2022-10-01,2022,37494
What causes sleepwalking?,10000,2022-10-01,2022,366052
What you can learn from people who disagree with you,53000,2022-10-01,2022,1815011
Amazon's commitment to run on 100-percent renewable energy,6200,2022-10-01,2022,209800
A new social contract for global climate justice,39000,2022-10-01,2022,1335834
An Indigenous perspective on humanity's survival on Earth,42000,2022-10-01,2022,1441042
Why is it so hard to cure the common cold?,18000,2022-10-01,2022,612580
We need leaders who boldly champion inclusion,41000,2022-10-01,2022,1400010
What's a food allergy -- and what's not?,9300,2022-10-01,2022,315039
What's the smartest age?,32000,2022-10-01,2022,1083899
How gaming can be a force for good,43000,2022-10-01,2022,1471833
The next wave of innovation in freight,6600,2022-10-01,2022,223332
The truth about faking orgasms,46000,2022-10-01,2022,1570321
I'm terrified of wanting to be a billionaire,4900,2022-10-01,2022,168489
How to squeeze all the juice out of retirement,43000,2022-10-01,2022,1489655
How did they build the Great Pyramid of Giza?,30000,2022-10-01,2022,1039937
"Can exercise actually ""boost"" your metabolism?",13000,2022-10-01,2022,449030
Is inequality inevitable?,22000,2022-10-01,2022,777091
4 ways to design a disability-friendly future,45000,2022-10-01,2022,1526020
The benefits of not being a jerk to yourself,68000,2022-10-01,2022,2308428
Climate action's hidden opportunities for women,45000,2022-10-01,2022,1552429
The community-building potential of the arts,807000,2022-10-01,2022,27128
What does the world's largest machine do?,9400,2022-10-01,2022,316846
You don't actually know what your future self wants,85000,2022-10-01,2022,2911504
How your sense of smell helps you savor flavor,41000,2022-10-01,2022,1410489
Should you care what your parents think?,14000,2022-10-01,2022,497623
"Lasting conservation, led by Indigenous heritage",39000,2022-10-01,2022,1345454
"5 parenting tips for raising resilient, self-reliant kids",52000,2022-10-01,2022,1772367
How to revitalize a neighborhood -- without gentrification,44000,2022-09-01,2022,1495539
"""Spiritual Leader"" / ""Audacious"" (ft. KAZU)",460000,2022-09-01,2022,15383
The online community supporting queer Africans,43000,2022-09-01,2022,1461190
The myth of Pegasus and the chimera,17000,2022-09-01,2022,600178
Work is not your family,58000,2022-09-01,2022,1956738
Can you solve the alien pyramid riddle?,16000,2022-09-01,2022,559746
How AI could empower any business,58000,2022-09-01,2022,1998032
Why doesn't success bring happiness?,43000,2022-09-01,2022,1498157
How to build for human life on Mars,45000,2022-09-01,2022,1523217
Is there a link between cancer and heart disease?,46000,2022-09-01,2022,1568048
Is it possible to lose weight fast?,41000,2022-09-01,2022,1463391
Is the pandemic actually over? It's complicated,46000,2022-09-01,2022,1546455
You don't have to leave your neighborhood to live in a better one,45000,2022-09-01,2022,1526329
These companies with no CEO are thriving,8800,2022-09-01,2022,296837
Your invitation to disrupt philanthropy,43000,2022-09-01,2022,1443118
Nuclear power is our best hope to ditch fossil fuels,49000,2022-09-01,2022,1656065
How dance can unleash your inner joy,47000,2022-09-01,2022,1599037
How friendship affects your brain,25000,2022-09-01,2022,856140
The trick to regaining your childlike wonder,12000,2022-09-01,2022,418442
How to lead in the new era of employee activism,44000,2022-09-01,2022,1484033
The myth of Zeus' test,41000,2022-09-01,2022,1379166
"The affordable, 3D-printed bionics of the future",41000,2022-09-01,2022,1393518
The shift we need to stop mass surveillance,15000,2022-09-01,2022,517112
Everyone can participate in building the metaverse,8400,2022-09-01,2022,283431
The benefits of daydreaming,21000,2022-09-01,2022,716761
How green hydrogen could end the fossil fuel era,55000,2022-09-01,2022,1849480
How our dependence on fossil fuels is leading the world into war,93000,2022-09-01,2022,NA
What if you could sing in your favorite musician's voice?,48000,2022-09-01,2022,1634518
"A giant Jurassic sea dragon, unearthed",48000,2022-09-01,2022,1636489
The original ring of power,47000,2022-09-01,2022,1605954
What capitalism gets right -- and governments get wrong,52000,2022-09-01,2022,1758450
Redefining how we love,1600,2022-09-01,2022,53574
Do you have what it takes to freelance?,9900,2022-09-01,2022,332959
"The colorful, shapeshifting wonder of the Amazon's praying mantises",8300,2022-09-01,2022,278801
The bias behind your undiagnosed chronic pain,45000,2022-08-01,2022,1510672
Would you pass the wallet test?,24000,2022-08-01,2022,839898
The most powerful yet overlooked resource in schools,53000,2022-08-01,2022,1787808
How to transform the chemical industry -- one reaction at a time,43000,2022-08-01,2022,1460904
"""Crush"" / ""Power Power""",379000,2022-08-01,2022,12674
"Coneheads, egg stacks and anteater attacks: The reign of a termite queen",9600,2022-08-01,2022,325830
Why the price of insulin is a danger to diabetics,47000,2022-08-01,2022,1572169
How we're reverse engineering the human brain in the lab,55000,2022-08-01,2022,1846666
Allá donde las mujeres mandan,1900,2022-08-01,2022,65246
The Boltzmann brain paradox,29000,2022-08-01,2022,989120
Is humanity smart enough to survive itself?,49000,2022-08-01,2022,1652327
How to stop the metaverse from becoming the internet's bad sequel,45000,2022-08-01,2022,1526048
Intelligent floating machines inspired by nature,48000,2022-08-01,2022,1635201
"How to write the perfect crime, according to Agatha Christie",10000,2022-08-01,2022,340323
How to build an equitable and just climate future,49000,2022-08-01,2022,1650163
"""The Woman in the Arena""",826000,2022-08-01,2022,27598
"""Once There Was III"" -- a mesmerizing blend of dance, animation and tech",8000,2022-08-01,2022,268937
How Phillis Wheatley captured the attention of the world,5200,2022-08-01,2022,175229
The problem with plastics -- and how they're changing the environment,46000,2022-08-01,2022,1565909
"""Giving Space""",140000,2022-08-01,2022,NA
Why money can't buy happiness,2500,2022-08-01,2022,84662
6 tips for building your confidence,69000,2022-08-01,2022,2363910
Can the economy grow forever?,27000,2022-08-01,2022,914518
The rise and fall of the medieval Islamic Empire,26000,2022-08-01,2022,887692
Can you guess what's wrong with these paintings?,21000,2022-08-01,2022,730169
A brief history of Spanish,10000,2022-08-01,2022,361335
A photographic journey through the Taliban's takeover of Afghanistan,47000,2022-07-01,2022,1595250
How to reimagine society for working parents,52000,2022-07-01,2022,1739263
Why a sausage can do what your gloves cannot,37000,2022-07-01,2022,1310290
The US can move past immigration prisons -- and towards justice,46000,2022-07-01,2022,1566597
Could a DAO build the next great city?,47000,2022-07-01,2022,1584235
This weird trick will help you summon an army of worms,30000,2022-07-01,2022,1014124
The future of fashion -- made from mushrooms,54000,2022-07-01,2022,1819785
Who should pay for a first date?,2800,2022-07-01,2022,94212
A new understanding of human history and the roots of inequality,66000,2022-07-01,2022,2225722
How schools can nurture every student's genius,59000,2022-07-01,2022,1991147
The true cost of gold,13000,2022-07-01,2022,454708
Why having fun is the secret to a healthier life,114000,2022-07-01,2022,3844749
The 4 greatest threats to the survival of humanity,16000,2022-07-01,2022,567625
How hip-hop can make climate action cool,45000,2022-07-01,2022,1534150
A 3-part plan to take on extreme heat waves,49000,2022-07-01,2022,1667259
Stories of photographing monumental people -- from Michelle Obama to Stephen Hawking,12000,2022-07-01,2022,405424
"The profound power of gratitude and ""living eulogies""",56000,2022-07-01,2022,1882816
"What causes yeast infections, and how do you get rid of them?",20000,2022-07-01,2022,682438
Where on Earth will people live in the future?,50000,2022-07-01,2022,1697742
The world's slimiest animal,8200,2022-07-01,2022,275749
What can animals teach us about sex and gender?,32000,2022-07-01,2022,NA
The eco-creators helping the climate through social media,47000,2022-07-01,2022,1576624
The search for the invisible matter that shapes the universe,56000,2022-07-01,2022,1875996
"How ""dilemma thinking"" transforms argument into action",502000,2022-07-01,2022,16792
How to write less but say more,60000,2022-07-01,2022,2035925
My 105 days in Taliban prison -- and a call to aid Afghanistan,50000,2022-07-01,2022,1681576
Meet the microbes that could eat your trash,11000,2022-07-01,2022,398313
How ethics can help you make better decisions,56000,2022-07-01,2022,1881373
The rise of boring architecture -- and the case for radically human buildings,54000,2022-07-01,2022,1824028
How to tap into your whole brain,84000,2022-07-01,2022,NA
How to alter the perception of mental health care in Russia,45000,2022-07-01,2022,1508594
How does alcohol cause hangovers?,30000,2022-07-01,2022,1036193
How data-driven journalism illuminates patterns of injustice,49000,2022-07-01,2022,1661378
The blind spots of the green energy transition,56000,2022-06-01,2022,1880301
The humans at the center of the US immigration debate,48000,2022-06-01,2022,1603846
What's the best country to live in?,20000,2022-06-01,2022,697045
The hidden wonders of soil,48000,2022-06-01,2022,1603525
How high altitude affects your body,24000,2022-06-01,2022,851814
An invitation to reexamine your familiar world,52000,2022-06-01,2022,1746627
Why art is a tool for hope,13000,2022-06-01,2022,455312
An interdimensional performance of imagination,9700,2022-06-01,2022,326973
Why can parrots talk?,31000,2022-06-01,2022,1077848
SpaceX's supersized Starship rocket -- and the future of galactic exploration,63000,2022-06-01,2022,2115827
Africa's great carbon valley -- and how to end energy poverty,51000,2022-06-01,2022,1709216
What happens to people's donated eggs and sperm after they die?,52000,2022-06-01,2022,1749406
Redesigning education for the most vulnerable helps everyone,20000,2022-06-01,2022,NA
A brief history of dumplings,19000,2022-06-01,2022,660208
How to find joy in climate action,48000,2022-06-01,2022,1617224
The mission to safeguard Black history in the US,45000,2022-06-01,2022,1519166
The actual cost of preventing climate breakdown,62000,2022-06-01,2022,2075678
Artemisia Gentileschi: The woman behind the paintings,13000,2022-06-01,2022,464499
A second chance for fathers to connect with their kids,53000,2022-06-01,2022,1788087
The relationship between sex and imagination,58000,2022-06-01,2022,1956870
"These animals are also plants ... wait, what?",36000,2022-06-01,2022,1240609
5 ethical principles for digitizing humanitarian aid,47000,2022-06-01,2022,1599504
"How a ""Hi Level"" mindset helps you realize your potential",124000,2022-06-01,2022,4174363
How Black girls can reclaim their voice in music,49000,2022-06-01,2022,1640723
What is the rarest color in nature?,33000,2022-06-01,2022,1114538
"Esports, virtual Formula 1 and the new era of play",49000,2022-06-01,2022,1652706
A sci-fi story of Earth's renewal,47000,2022-06-01,2022,1597448
Can you outsmart the college admissions fallacy?,21000,2022-06-01,2022,721805
The brain science (and benefits) of ASMR,61000,2022-06-01,2022,2038395
How to humanize the justice system and build trust,7000,2022-06-01,2022,NA
How to preserve your private life in the age of social media,60000,2022-06-01,2022,2018171
The awesome potential of many metaverses,52000,2022-06-01,2022,1742784
Ethical dilemma: Would you lie?,30000,2022-06-01,2022,1015371
The secret to mastering life's biggest transitions,60000,2022-06-01,2022,2004164
How everyday people can tackle the world's biggest problems,14000,2022-06-01,2022,NA
A brain implant that turns your thoughts into text,55000,2022-06-01,2022,1840634
Can you solve the fortress riddle?,26000,2022-05-01,2022,900004
The mindset shift needed to tackle big global challenges,50000,2022-05-01,2022,1675760
The future of US reproductive rights after Roe v. Wade,50000,2022-05-01,2022,1681773
Why bittersweet emotions underscore life's beauty,52000,2022-05-01,2022,1748773
Ugly History: Cambodian Genocide,39000,2022-05-01,2022,1345086
A flavorful field guide to foraging,47000,2022-05-01,2022,1589491
What Wikipedia teaches us about balancing truth and beliefs,59000,2022-05-01,2022,1979916
3 ways to make flying more climate-friendly,48000,2022-05-01,2022,1622281
How is your city tackling the climate crisis?,49000,2022-05-01,2022,1636830
How does heart transplant surgery work?,83000,2022-05-01,2022,2795037
Humanity's search for cosmic truth and poetic beauty,52000,2022-05-01,2022,1763192
How labor unions shape society,50000,2022-05-01,2022,1700376
How to discover your authentic self -- at any age,114000,2022-05-01,2022,3839007
This is the moment to take on the climate crisis,13000,2022-05-01,2022,449593
Why are eating disorders so hard to treat?,44000,2022-05-01,2022,1486103
How great leaders innovate responsibly,51000,2022-05-01,2022,1716980
"The workplace, redefined by women of color",48000,2022-05-01,2022,1606557
The real reason you feel so busy (and what to do about it),61000,2022-05-01,2022,2048487
The rebel radio that brought down a war criminal,6500,2022-05-01,2022,218786
"A creator-led internet, built on blockchain",56000,2022-05-01,2022,1898369
Why Africa needs community-led conservation,46000,2022-05-01,2022,1564857
The crime-fighting power of cross-border investigative journalism,46000,2022-05-01,2022,1548483
Do tax cuts stimulate the economy?,11000,2022-05-01,2022,387804
How to stop banks from investing in fossil fuels,47000,2022-05-01,2022,1594124
The case for a 4-day work week,65000,2022-05-01,2022,2200322
The biggest mistakes in mapmaking history,22000,2022-05-01,2022,759948
My long walk across India for women's freedom,53000,2022-05-01,2022,1771022
The future of the food ecosystem -- and the power of your plate,52000,2022-05-01,2022,1751984
The most powerful untapped resource in health care,52000,2022-05-01,2022,1761544
A bold plan to transform access to the US social safety net,47000,2022-05-01,2022,1600672
"A transparent, easy way for smallholder farmers to save",46000,2022-05-01,2022,1557970
An election redesign to restore trust in US democracy,49000,2022-05-01,2022,1657091
How one photo captured a humanitarian crisis,1100,2022-05-01,2022,37226
Love vs. Honor: The Irish myth of Diarmuid's betrayal,18000,2022-05-01,2022,618005
Mental health care that disrupts cycles of violence,48000,2022-05-01,2022,1632355
How ancient Arctic carbon threatens everyone on the planet,49000,2022-05-01,2022,1659884
How the Suez Canal changed the world,18000,2022-05-01,2022,619504
Why Indigenous forest guardianship is crucial to climate action,45000,2022-05-01,2022,1533362
A safe pathway to resettlement for migrants and refugees,48000,2022-05-01,2022,1605422
How to heal a divided world,13000,2022-04-01,2022,443664
The restorative power of medical tattoos,49000,2022-04-01,2022,1659826
The myth of the original star-crossed lovers,17000,2022-04-01,2022,597413
How mRNA medicine will change the world,67000,2022-04-01,2022,2252490
Can you be yourself at work?,1500,2022-04-01,2022,52031
Can you solve the feeding frenzy riddle?,29000,2022-04-01,2022,993629
The funding gap in start-up investing,47000,2022-04-01,2022,1591107
How the James Webb Space Telescope will unfold the universe,25000,2022-04-01,2022,856772
We can make COVID-19 the last pandemic,88000,2022-04-01,2022,2971216
Why people and AI make good business partners,52000,2022-04-01,2022,1740699
The dark history of zombies,23000,2022-04-01,2022,789244
A new economic model for protecting tropical forests ,49000,2022-04-01,2022,1646660
An Olympic champion's mindset for overcoming fear,59000,2022-04-01,2022,1972078
